2023-08-09 14:47:02,147 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 14:47:02,147 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 14:47:02,147 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 14:47:02,147 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 15:03:49,097 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 15:03:49,097 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 15:03:49,097 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 15:03:49,107 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 15:03:49,107 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 15:03:49,107 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 15:03:49,107 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 16:21:50,250 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 16:21:50,251 - usb_get - WARNING	 - write_usb: 60	 - >>>>>>>>>>>>>>>>>>>>>>>>>
2023-08-09 16:21:50,251 - usb_get - WARNING	 - write_usb: 61	 - Тест в режиме эхо пройден
2023-08-09 16:21:50,258 - usb_get - WARNING	 - info_usb: 7	 - Device('/sys/devices/pci0000:00/0000:00:08.1/0000:03:00.3/usb1/1-4')
2023-08-09 16:21:50,258 - usb_get - WARNING	 - info_usb: 8	 - PRODUCT=67b/2303/400
2023-08-09 16:21:50,258 - usb_get - WARNING	 - info_usb: 9	 - ID_REVISION=0400
2023-08-09 16:21:50,258 - usb_get - WARNING	 - info_usb: 11	 - Тест пройден, ID_REVISION соответствует
2023-08-09 16:25:35,048 - usb_get - WARNING	 - write_usb: 59	 - >>>>>>>>>>>>>>>>>>>>>>>>>
